Peak_I30_mm/h,PropHM23,dNBR/1000,KF,Response
9.65,0.843207016,0.645616272,0.3300001,0
2.03,0.843207016,0.645616272,0.3300001,0
11.68,0.015384047,0.242337814,0.17035,0
3.05,0.015384047,0.242337814,0.17035,0
9.65,0.023334253,0.26645044,0.3300001,0
2.03,0.023334253,0.26645044,0.3300001,0
9.65,0.077983775,0.391966522,0.33,0
2.03,0.077983775,0.391966522,0.33,0
9.65,0.955695343,0.775621155,0.33,0
2.03,0.955695343,0.775621155,0.33,0
17.27,0.883995285,0.775813232,0.33,0
9.65,0.883995285,0.775813232,0.33,0
2.03,0.883995285,0.775813232,0.33,0
17.27,0.898168869,0.734181152,0.3300001,0
9.65,0.898168869,0.734181152,0.3300001,0
2.03,0.898168869,0.734181152,0.3300001,0
17.27,0.925328598,0.746115418,0.33,0
9.65,0.925328598,0.746115418,0.33,0
2.03,0.925328598,0.746115418,0.33,0
17.27,0.954002533,0.857491699,0.33,0
9.65,0.954002533,0.857491699,0.33,0
2.03,0.954002533,0.857491699,0.33,0
17.27,0.889885864,0.697748108,0.3300002,0
9.65,0.889885864,0.697748108,0.3300002,0
2.03,0.889885864,0.697748108,0.3300002,0
17.27,0.047848482,0.381418427,0.3266886,0
9.65,0.047848482,0.381418427,0.3266886,0
2.03,0.047848482,0.381418427,0.3266886,0
17.27,0.954613419,0.816058655,0.33,0
9.65,0.954613419,0.816058655,0.33,0
2.03,0.954613419,0.816058655,0.33,0
17.27,0.989525528,0.818088379,0.3300001,0
9.65,0.989525528,0.818088379,0.3300001,0
2.03,0.989525528,0.818088379,0.3300001,0
17.27,0.954663391,0.849048889,0.33,0
9.65,0.954663391,0.849048889,0.33,0
2.03,0.954663391,0.849048889,0.33,0
17.27,0.571889076,0.722766052,0.3300004,1
9.65,0.571889076,0.722766052,0.3300004,0
2.03,0.571889076,0.722766052,0.3300004,0
17.27,0.950270386,0.838917297,0.3299999,1
9.65,0.950270386,0.838917297,0.3299999,0
2.03,0.950270386,0.838917297,0.3299999,0
17.27,0.950734558,0.859534424,0.33,0
9.65,0.950734558,0.859534424,0.33,0
2.03,0.950734558,0.859534424,0.33,0
14.22,0.865241623,0.867421143,0.3299999,1
4.06,0.865241623,0.867421143,0.3299999,0
6.1,0.865241623,0.867421143,0.3299999,0
8.13,0.072491269,0.406429901,0.29,0
4.57,0.072491269,0.406429901,0.29,0
11.68,0.072491269,0.406429901,0.29,0
7.62,0.072491269,0.406429901,0.29,0
8.13,0.578851357,0.557025513,0.2265083,0
4.57,0.578851357,0.557025513,0.2265083,0
11.68,0.578851357,0.557025513,0.2265083,0
7.62,0.578851357,0.557025513,0.2265083,0
8.8,0.032404189,0.251575134,0.31,0
8.8,0.280016575,0.365913696,0.3100004,0
8.8,0.35819458,0.468054504,0.3100002,0
8.8,0.252821159,0.470247864,0.3100009,0
8.8,0.198586273,0.5094758,0.3100007,0
8.4,0.019355301,0.411116364,0.31,0
8.4,0.081772261,0.374431671,0.3099998,0
8.4,0.025152187,0.315254669,0.3091224,0
18.4,0.600947418,0.332832184,0.2272671,0
6.4,0.600947418,0.332832184,0.2272671,0
16.4,0.600947418,0.332832184,0.2272671,0
18.4,0.431933823,0.329564026,0.1852344,0
6.4,0.431933823,0.329564026,0.1852344,0
16.4,0.431933823,0.329564026,0.1852344,0
6.4,0.424452782,0.308938049,0.1906918,0
16.4,0.424452782,0.308938049,0.1906918,0
6.4,0.279821053,0.291285858,0.1700111,0
16.4,0.279821053,0.291285858,0.1700111,0
30.0,0.591378136,0.464972443,0.1300001,0
35.0,0.591378136,0.464972443,0.1300001,0
27.0,0.591378136,0.464972443,0.1300001,0
11.0,0.591378136,0.464972443,0.1300001,0
20.0,0.591378136,0.464972443,0.1300001,0
30.0,0.716361084,0.557073364,0.1300001,0
35.0,0.716361084,0.557073364,0.1300001,0
27.0,0.716361084,0.557073364,0.1300001,0
11.0,0.716361084,0.557073364,0.1300001,0
20.0,0.716361084,0.557073364,0.1300001,0
30.0,0.640942688,0.553901672,0.1299998,0
35.0,0.640942688,0.553901672,0.1299998,1
