fire_name,year,fire_id,fire_segid,database,state,response,stormdate,gaugedist_m,stormstart,stormend,stormdur_h,stormaccum_mm,stormavgi_mmh,peak_i15_mmh,peak_i30_mmh,peak_i60_mmh,contributingarea_km2,prophm23,dnbr1000,kf,acc015_mm,acc030_mm,acc060_mm,geom,lon,lat,SiteID,NB,GR,GS,SH,TU,TL,dom,Fine fuel load,SAV,Packing ratio,Extinction moisture content,Igneous,Metamorphic,Sedimentary,Unconsolidated,domrt
Buckweed,2007,bck,bck_1035,Training,CA,0,22,1998.67,2008-01-21 16:27:00,2008-01-22 19:20:00,28.06759667144111,5.797967165606995,0.2,3.039668512703119,1.970020493313631,2.0500134669497627,0.3787667,0.217932682,0.297852875,0.25,0.739333549448614,0.9302106335552311,1.8061486980592603,POINT (-118.43707630192644 34.54235771812747),-118.43707630192644,34.54235771812747,0,0.0,0.34383271572260454,0.6453149814716781,0.01085230280571731,0.0,0.0,GS2,1.8082583377448391,1818.1469031233457,0.0021874219163578613,15.0,0.0,0.9999999999999978,0.0,0.0,Metamorphic
Buckweed,2007,bck,bck_1090,Training,CA,0,22,2368.93,2008-01-21 16:27:00,2008-01-22 19:20:00,24.195314947642938,5.583218327865577,0.2,3.4941415696197886,1.8425668372606105,2.064001154480856,0.6896154,0.061248741,0.224895584,0.25,0.8015382584699441,0.987288093248801,2.0168874982216694,POINT (-118.43989778961974 34.54009274336569),-118.43989778961974,34.54009274336569,1,0.04307948860478043,0.6850101908467667,0.2719103205484528,0.0,0.0,0.0,GR2,1.384151418336722,1821.9890599283572,0.001838577790686417,15.0,0.0,1.0,0.0,0.0,Metamorphic
Buckweed,2007,bck,bck_1570,Training,CA,0,22,3956.74,2008-01-21 16:27:00,2008-01-22 19:20:00,25.82022131001235,5.732401171300284,0.2,3.0328410453096915,2.0892483258403516,2.0936114944132105,2.7573118,0.042967882,0.06553743,0.2485406,0.8792835242201311,1.0781726324651408,2.1421441153604945,POINT (-118.44370815731708 34.52884399858943),-118.44370815731708,34.52884399858943,2,0.032794047436740505,0.4800920629487168,0.4681382926016341,0.0040086117591950346,0.0008602751078721928,0.014106710145841403,GR2,1.5996491121863081,1816.9393315668642,0.002438621269343069,15.099212539757195,0.0,0.9732468180975783,0.026753181902423935,0.0,Metamorphic
Buckweed,2007,bck,bck_235,Training,CA,0,22,1734.72,2008-01-21 15:47:00,2008-01-22 19:39:00,25.913098900730713,3.2384989693816926,0.11,1.4741485082737722,1.151614566864199,0.8087776055512557,0.613415,0.092164478,0.141710999,0.25,0.39851436132074225,0.5591723532133902,0.7914436502135921,POINT (-118.40493027740993 34.55860201760902),-118.40493027740993,34.55860201760902,3,0.02138884927990874,0.29987166690432054,0.6579210038499929,0.002566661913589049,0.0,0.01825181805218879,GS2,1.775338773131284,1817.8016902229347,0.0026572723298848894,15.09325367914906,0.0,0.9999999999999984,0.0,0.0,Metamorphic
Buckweed,2007,bck,bck_363,Training,CA,0,22,1801.04,2008-01-21 15:47:00,2008-01-22 19:39:00,25.609635407587678,2.9722979702940076,0.11,1.4988678207208543,1.1976867980878845,0.7371768815841001,0.538875,0.058352671,0.210157913,0.25,0.4270250203122368,0.5542387239477493,0.7577019437722208,POINT (-118.4086267321321 34.55481731198694),-118.4086267321321,34.55481731198694,4,0.03598484848484849,0.2676282051282051,0.6740967365967366,0.008886946386946386,0.0,0.013403263403263404,GS2,1.8475064228502347,1816.3208402599366,0.002578762278978389,15.092942421036724,0.0,1.0000000000000029,0.0,0.0,Metamorphic
Buckweed,2007,bck,bck_440,Training,CA,0,22,2123.11,2008-01-21 15:47:00,2008-01-22 19:39:00,26.13339869476872,3.0346951822289467,0.11,1.6851919382137344,1.1269399877399697,0.8224556449035533,0.33451,0.156562519,0.337675507,0.25,0.4082924361448122,0.6386648518543606,0.8698454479723399,POINT (-118.41127358124126 34.55343417234884),-118.41127358124126,34.55343417234884,5,0.06708746618575293,0.12533814247069433,0.7612263300270514,0.026690712353471598,0.0,0.019657348963029758,GS2,2.08028223468007,1805.192151556157,0.0028772491784264448,15.134351440170114,0.0,1.0000000000000007,0.0,0.0,Metamorphic
Buckweed,2007,bck,bck_469,Training,CA,0,22,1035.83,2008-01-21 16:27:00,2008-01-22 19:20:00,26.05264180501965,5.406621619134494,0.2,3.3336091237960077,2.0723306035638696,2.0682123411960265,0.7706,0.261436386,0.208135666,0.25,0.826299991042896,0.9116146280102754,2.047683551784493,POINT (-118.42623858579593 34.55382381537869),-118.42623858579593,34.55382381537869,6,0.06900439733904612,0.7358214003833577,0.18931108354944187,0.0,0.0,0.005863118728154245,GR2,1.2987465181058495,1819.615114448347,0.0019203500060554685,15.031488434055953,0.0,1.0000000000000004,0.0,0.0,Metamorphic
Buckweed,2007,bck,bck_604,Training,CA,0,22,1899.12,2008-01-21 16:27:00,2008-01-22 19:20:00,26.32796000194862,5.607342616886157,0.2,3.1602828318573595,2.1323304587221252,1.9000427966207944,0.1617,0.059440675,0.315326691,0.25,0.7635938227457125,0.946449211408506,2.145830464448446,POINT (-118.41859503623134 34.55136554585851),-118.41859503623134,34.55136554585851,7,0.03536693191865606,0.3863837312113174,0.5649867374005305,0.013262599469496022,0.0,0.0,GS2,1.7654445462878092,1816.0293308890925,0.0021385609532538954,15.0,0.0,0.9999999999999998,0.0,0.0,Metamorphic
Buckweed,2007,bck,bck_611,Training,CA,0,22,1333.23,2008-01-21 16:27:00,2008-01-22 19:20:00,27.09170205204245,5.597539417040266,0.2,3.3880348845545125,1.8881627143861346,2.1793101040461282,0.07905,0.031438735,0.3384104,0.25,0.8529493197343538,1.0189911828792495,1.8512453543681182,POINT (-118.42468383359186 34.55052818493398),-118.42468383359186,34.55052818493398,8,0.0,0.31610044313146235,0.6838995568685377,0.0,0.0,0.0,GS2,1.7838995568685374,1824.7872968980798,0.002202348596750369,15.0,0.0,1.0000000000000024,0.0,0.0,Metamorphic
Buckweed,2007,bck,bck_643,Training,CA,0,22,1055.77,2008-01-21 16:27:00,2008-01-22 19:20:00,26.448541226140755,5.421938726732383,0.2,3.211208122971277,1.8031234676375358,1.9810596460283691,3.0174727,0.043823137,0.062548531,0.2472831,0.7591146068483012,1.0422917397575644,1.9764953523541777,POINT (-118.43158583161522 34.549455560694575),-118.43158583161522,34.549455560694575,9,0.029289848758324515,0.4147071637517894,0.5331237941121554,0.0051845397398394225,0.0011514283936017926,0.016543225244289538,GS2,1.6735993562617018,1815.848054679285,0.002574694224308174,15.118841527531995,0.0,0.9626666400719063,0.03733335992809811,0.0,Metamorphic
Buckweed,2007,bck,bck_647,Training,CA,0,22,1211.84,2008-01-21 16:27:00,2008-01-22 19:20:00,27.87885116583322,5.75474559993231,0.2,3.144702823122629,1.9003617233835135,2.1466862555531643,0.2928667,0.084582825,0.248775864,0.25,0.8277379903039765,0.9865910961890216,2.1430215878847587,POINT (-118.4279901845185 34.54949767280779),-118.4279901845185,34.54949767280779,10,0.0035294117647058825,0.47352941176470587,0.5176470588235295,0.0,0.0,0.005294117647058823,GS2,1.611865407319953,1822.1357733175914,0.0021820543093270363,15.026564344746163,0.0,1.0000000000000004,0.0,0.0,Metamorphic
Buckweed,2007,bck,bck_651,Training,CA,0,22,997.042522,2008-01-21 16:27:00,2008-01-22 19:20:00,25.29395796590648,5.4062417377330565,0.2,2.9551628391856575,2.0510545208950326,2.0612324370483126,0.0380143,0.187328587,0.129095383,0.25,0.7341008109299365,0.995984150993184,2.1592774458663584,POINT (-118.43274960522939 34.55059158756407),-118.43274960522939,34.55059158756407,11,0.0,1.0,0.0,0.0,0.0,0.0,GR2,1.0999999999999999,1820.0,0.0015800000000000005,15.0,0.0,0.9999999999999998,0.0,0.0,Metamorphic
Buckweed,2007,bck,bck_688,Training,CA,0,22,1190.92,2008-01-21 16:27:00,2008-01-22 19:20:00,28.915986208499557,5.7508472473760515,0.2,3.4457030821992642,1.9243267308949767,2.0466140437316596,0.1763375,0.114014301,0.304394623,0.25,0.7230163274008632,0.917385819823437,2.1509055564868316,POINT (-118.42728964833329 34.549956720305076),-118.42728964833329,34.549956720305076,12,0.013613290263036456,0.20119981541301338,0.775957544993078,0.00692201199815413,0.0,0.0023073373327180432,GS2,1.9259649122807017,1820.7136842105263,0.0023667438596491224,15.011695906432749,0.0,0.9999999999999997,0.0,0.0,Metamorphic
